id	col1	col2	col3	random
106	row106_col1	row106_col2	row106_col3	9773
107	row107_col1	row107_col2	row107_col3	1927
108	row108_col1	row108_col2	row108_col3	8678
109	row109_col1	row109_col2	row109_col3	9324
110	row110_col1	row110_col2	row110_col3	3968
111	row111_col1	row111_col2	row111_col3	5013
112	row112_col1	row112_col2	row112_col3	815
113	row113_col1	row113_col2	row113_col3	9887
114	row114_col1	row114_col2	row114_col3	6521
115	row115_col1	row115_col2	row115_col3	4123
116	row116_col1	row116_col2	row116_col3	6370
117	row117_col1	row117_col2	row117_col3	4109
118	row118_col1	row118_col2	row118_col3	2023
119	row119_col1	row119_col2	row119_col3	9985
120	row120_col1	row120_col2	row120_col3	3358
121	row121_col1	row121_col2	row121_col3	7260
122	row122_col1	row122_col2	row122_col3	2036
123	row123_col1	row123_col2	row123_col3	9525
124	row124_col1	row124_col2	row124_col3	8098
125	row125_col1	row125_col2	row125_col3	8209
126	row126_col1	row126_col2	row126_col3	2127
127	row127_col1	row127_col2	row127_col3	4669
128	row128_col1	row128_col2	row128_col3	3968
129	row129_col1	row129_col2	row129_col3	263
130	row130_col1	row130_col2	row130_col3	6108
131	row131_col1	row131_col2	row131_col3	4195
132	row132_col1	row132_col2	row132_col3	1857
133	row133_col1	row133_col2	row133_col3	2088
134	row134_col1	row134_col2	row134_col3	13
135	row135_col1	row135_col2	row135_col3	9711
136	row136_col1	row136_col2	row136_col3	1032
137	row137_col1	row137_col2	row137_col3	8275
138	row138_col1	row138_col2	row138_col3	8903
139	row139_col1	row139_col2	row139_col3	8887
140	row140_col1	row140_col2	row140_col3	2179
141	row141_col1	row141_col2	row141_col3	373
142	row142_col1	row142_col2	row142_col3	7114
143	row143_col1	row143_col2	row143_col3	399
144	row144_col1	row144_col2	row144_col3	8727
145	row145_col1	row145_col2	row145_col3	7825
146	row146_col1	row146_col2	row146_col3	5751
147	row147_col1	row147_col2	row147_col3	8104
148	row148_col1	row148_col2	row148_col3	6821
149	row149_col1	row149_col2	row149_col3	6870
150	row150_col1	row150_col2	row150_col3	6506
151	row151_col1	row151_col2	row151_col3	1934
152	row152_col1	row152_col2	row152_col3	2826
153	row153_col1	row153_col2	row153_col3	8091
154	row154_col1	row154_col2	row154_col3	2412
155	row155_col1	row155_col2	row155_col3	8332
156	row156_col1	row156_col2	row156_col3	4596
157	row157_col1	row157_col2	row157_col3	9091
158	row158_col1	row158_col2	row158_col3	3289
159	row159_col1	row159_col2	row159_col3	6629
160	row160_col1	row160_col2	row160_col3	7722
161	row161_col1	row161_col2	row161_col3	847
162	row162_col1	row162_col2	row162_col3	7355
163	row163_col1	row163_col2	row163_col3	5743
164	row164_col1	row164_col2	row164_col3	5394
165	row165_col1	row165_col2	row165_col3	6879
166	row166_col1	row166_col2	row166_col3	2771
167	row167_col1	row167_col2	row167_col3	1572
168	row168_col1	row168_col2	row168_col3	3455
169	row169_col1	row169_col2	row169_col3	3530
170	row170_col1	row170_col2	row170_col3	3331
171	row171_col1	row171_col2	row171_col3	9207
172	row172_col1	row172_col2	row172_col3	4641
173	row173_col1	row173_col2	row173_col3	3878
174	row174_col1	row174_col2	row174_col3	3097
175	row175_col1	row175_col2	row175_col3	871
176	row176_col1	row176_col2	row176_col3	50
177	row177_col1	row177_col2	row177_col3	6464
178	row178_col1	row178_col2	row178_col3	685
179	row179_col1	row179_col2	row179_col3	4986
180	row180_col1	row180_col2	row180_col3	5214
181	row181_col1	row181_col2	row181_col3	7904
182	row182_col1	row182_col2	row182_col3	1549
183	row183_col1	row183_col2	row183_col3	3652
184	row184_col1	row184_col2	row184_col3	4714
185	row185_col1	row185_col2	row185_col3	5994
186	row186_col1	row186_col2	row186_col3	3467
187	row187_col1	row187_col2	row187_col3	642
188	row188_col1	row188_col2	row188_col3	7282
189	row189_col1	row189_col2	row189_col3	1882
190	row190_col1	row190_col2	row190_col3	7246
191	row191_col1	row191_col2	row191_col3	9321
192	row192_col1	row192_col2	row192_col3	7997
193	row193_col1	row193_col2	row193_col3	2978
194	row194_col1	row194_col2	row194_col3	3351
195	row195_col1	row195_col2	row195_col3	5774
196	row196_col1	row196_col2	row196_col3	4567
197	row197_col1	row197_col2	row197_col3	1646
198	row198_col1	row198_col2	row198_col3	2294
199	row199_col1	row199_col2	row199_col3	496
200	row200_col1	row200_col2	row200_col3	6622
201	row201_col1	row201_col2	row201_col3	9899
202	row202_col1	row202_col2	row202_col3	9578
203	row203_col1	row203_col2	row203_col3	789
204	row204_col1	row204_col2	row204_col3	1913
205	row205_col1	row205_col2	row205_col3	949
206	row206_col1	row206_col2	row206_col3	4537
207	row207_col1	row207_col2	row207_col3	1629
208	row208_col1	row208_col2	row208_col3	7351
209	row209_col1	row209_col2	row209_col3	3311
210	row210_col1	row210_col2	row210_col3	8755
211	row211_col1	row211_col2	row211_col3	5397
212	row212_col1	row212_col2	row212_col3	5606
213	row213_col1	row213_col2	row213_col3	8151
214	row214_col1	row214_col2	row214_col3	2666
215	row215_col1	row215_col2	row215_col3	7508
216	row216_col1	row216_col2	row216_col3	3120
217	row217_col1	row217_col2	row217_col3	1539
218	row218_col1	row218_col2	row218_col3	2268
219	row219_col1	row219_col2	row219_col3	2394
220	row220_col1	row220_col2	row220_col3	5096
221	row221_col1	row221_col2	row221_col3	5302
222	row222_col1	row222_col2	row222_col3	7170
223	row223_col1	row223_col2	row223_col3	9413
224	row224_col1	row224_col2	row224_col3	2215
225	row225_col1	row225_col2	row225_col3	8277
226	row226_col1	row226_col2	row226_col3	5550
227	row227_col1	row227_col2	row227_col3	9137
228	row228_col1	row228_col2	row228_col3	7664
229	row229_col1	row229_col2	row229_col3	6111
230	row230_col1	row230_col2	row230_col3	4256
231	row231_col1	row231_col2	row231_col3	9000
232	row232_col1	row232_col2	row232_col3	9964
233	row233_col1	row233_col2	row233_col3	5704
234	row234_col1	row234_col2	row234_col3	8100
235	row235_col1	row235_col2	row235_col3	6020
236	row236_col1	row236_col2	row236_col3	627
237	row237_col1	row237_col2	row237_col3	2176
238	row238_col1	row238_col2	row238_col3	3309
239	row239_col1	row239_col2	row239_col3	7326
240	row240_col1	row240_col2	row240_col3	6269
241	row241_col1	row241_col2	row241_col3	6664
242	row242_col1	row242_col2	row242_col3	4359
243	row243_col1	row243_col2	row243_col3	9299
244	row244_col1	row244_col2	row244_col3	3799
245	row245_col1	row245_col2	row245_col3	4068
246	row246_col1	row246_col2	row246_col3	4440
247	row247_col1	row247_col2	row247_col3	2339
248	row248_col1	row248_col2	row248_col3	4503
249	row249_col1	row249_col2	row249_col3	4366
250	row250_col1	row250_col2	row250_col3	3763
251	row251_col1	row251_col2	row251_col3	3916
252	row252_col1	row252_col2	row252_col3	6939
253	row253_col1	row253_col2	row253_col3	9599
254	row254_col1	row254_col2	row254_col3	1265
255	row255_col1	row255_col2	row255_col3	8818
256	row256_col1	row256_col2	row256_col3	5284
257	row257_col1	row257_col2	row257_col3	5110
258	row258_col1	row258_col2	row258_col3	23
259	row259_col1	row259_col2	row259_col3	4511
260	row260_col1	row260_col2	row260_col3	2021
261	row261_col1	row261_col2	row261_col3	5737
262	row262_col1	row262_col2	row262_col3	9960
263	row263_col1	row263_col2	row263_col3	481
264	row264_col1	row264_col2	row264_col3	7969
265	row265_col1	row265_col2	row265_col3	9386
266	row266_col1	row266_col2	row266_col3	8353
267	row267_col1	row267_col2	row267_col3	9101
268	row268_col1	row268_col2	row268_col3	628
269	row269_col1	row269_col2	row269_col3	1218
270	row270_col1	row270_col2	row270_col3	1244
271	row271_col1	row271_col2	row271_col3	7998
272	row272_col1	row272_col2	row272_col3	8796
273	row273_col1	row273_col2	row273_col3	8302
274	row274_col1	row274_col2	row274_col3	4908
275	row275_col1	row275_col2	row275_col3	5033
276	row276_col1	row276_col2	row276_col3	9019
277	row277_col1	row277_col2	row277_col3	9918
278	row278_col1	row278_col2	row278_col3	2626
279	row279_col1	row279_col2	row279_col3	350
280	row280_col1	row280_col2	row280_col3	6035
281	row281_col1	row281_col2	row281_col3	9100
282	row282_col1	row282_col2	row282_col3	4330
283	row283_col1	row283_col2	row283_col3	4741
284	row284_col1	row284_col2	row284_col3	952
285	row285_col1	row285_col2	row285_col3	1372
286	row286_col1	row286_col2	row286_col3	7427
287	row287_col1	row287_col2	row287_col3	2984
288	row288_col1	row288_col2	row288_col3	6017
289	row289_col1	row289_col2	row289_col3	9964
290	row290_col1	row290_col2	row290_col3	5597
291	row291_col1	row291_col2	row291_col3	3697
292	row292_col1	row292_col2	row292_col3	6366
293	row293_col1	row293_col2	row293_col3	6728
294	row294_col1	row294_col2	row294_col3	867
295	row295_col1	row295_col2	row295_col3	636
296	row296_col1	row296_col2	row296_col3	5009
297	row297_col1	row297_col2	row297_col3	779
298	row298_col1	row298_col2	row298_col3	336
299	row299_col1	row299_col2	row299_col3	6792
300	row300_col1	row300_col2	row300_col3	2070
301	row301_col1	row301_col2	row301_col3	617
302	row302_col1	row302_col2	row302_col3	1522
303	row303_col1	row303_col2	row303_col3	5880
304	row304_col1	row304_col2	row304_col3	4866
305	row305_col1	row305_col2	row305_col3	2956
306	row306_col1	row306_col2	row306_col3	2759
307	row307_col1	row307_col2	row307_col3	4471
308	row308_col1	row308_col2	row308_col3	6279
309	row309_col1	row309_col2	row309_col3	9325
310	row310_col1	row310_col2	row310_col3	4094
311	row311_col1	row311_col2	row311_col3	2038
312	row312_col1	row312_col2	row312_col3	2918
313	row313_col1	row313_col2	row313_col3	4801
314	row314_col1	row314_col2	row314_col3	3399
315	row315_col1	row315_col2	row315_col3	7432
316	row316_col1	row316_col2	row316_col3	5226
317	row317_col1	row317_col2	row317_col3	4788
318	row318_col1	row318_col2	row318_col3	8800
319	row319_col1	row319_col2	row319_col3	3986
320	row320_col1	row320_col2	row320_col3	6635
321	row321_col1	row321_col2	row321_col3	9781
322	row322_col1	row322_col2	row322_col3	3109
323	row323_col1	row323_col2	row323_col3	5097
324	row324_col1	row324_col2	row324_col3	5949
325	row325_col1	row325_col2	row325_col3	6892
326	row326_col1	row326_col2	row326_col3	8250
327	row327_col1	row327_col2	row327_col3	5620
328	row328_col1	row328_col2	row328_col3	9006
329	row329_col1	row329_col2	row329_col3	6065
330	row330_col1	row330_col2	row330_col3	9633
331	row331_col1	row331_col2	row331_col3	7064
332	row332_col1	row332_col2	row332_col3	3555
333	row333_col1	row333_col2	row333_col3	122
334	row334_col1	row334_col2	row334_col3	3146
335	row335_col1	row335_col2	row335_col3	2502
336	row336_col1	row336_col2	row336_col3	1453
337	row337_col1	row337_col2	row337_col3	7644
338	row338_col1	row338_col2	row338_col3	7562
339	row339_col1	row339_col2	row339_col3	7183
340	row340_col1	row340_col2	row340_col3	8268
341	row341_col1	row341_col2	row341_col3	3261
342	row342_col1	row342_col2	row342_col3	3920
343	row343_col1	row343_col2	row343_col3	7933
344	row344_col1	row344_col2	row344_col3	5811
345	row345_col1	row345_col2	row345_col3	8270
346	row346_col1	row346_col2	row346_col3	7146
347	row347_col1	row347_col2	row347_col3	2156
348	row348_col1	row348_col2	row348_col3	8
349	row349_col1	row349_col2	row349_col3	3963
350	row350_col1	row350_col2	row350_col3	6740
351	row351_col1	row351_col2	row351_col3	237
352	row352_col1	row352_col2	row352_col3	864
353	row353_col1	row353_col2	row353_col3	1494
354	row354_col1	row354_col2	row354_col3	8018
355	row355_col1	row355_col2	row355_col3	4570
356	row356_col1	row356_col2	row356_col3	9908
357	row357_col1	row357_col2	row357_col3	6136
358	row358_col1	row358_col2	row358_col3	6148
359	row359_col1	row359_col2	row359_col3	8314
360	row360_col1	row360_col2	row360_col3	9974
361	row361_col1	row361_col2	row361_col3	8669
362	row362_col1	row362_col2	row362_col3	2971
363	row363_col1	row363_col2	row363_col3	9750
364	row364_col1	row364_col2	row364_col3	3745
365	row365_col1	row365_col2	row365_col3	6330
366	row366_col1	row366_col2	row366_col3	6857
367	row367_col1	row367_col2	row367_col3	8692
368	row368_col1	row368_col2	row368_col3	4866
369	row369_col1	row369_col2	row369_col3	4924
370	row370_col1	row370_col2	row370_col3	5497
371	row371_col1	row371_col2	row371_col3	7892
372	row372_col1	row372_col2	row372_col3	4407
373	row373_col1	row373_col2	row373_col3	8237
374	row374_col1	row374_col2	row374_col3	2937
375	row375_col1	row375_col2	row375_col3	3526
376	row376_col1	row376_col2	row376_col3	5739
377	row377_col1	row377_col2	row377_col3	9067
378	row378_col1	row378_col2	row378_col3	6833
379	row379_col1	row379_col2	row379_col3	697
380	row380_col1	row380_col2	row380_col3	9563
381	row381_col1	row381_col2	row381_col3	8738
382	row382_col1	row382_col2	row382_col3	626
383	row383_col1	row383_col2	row383_col3	2564
384	row384_col1	row384_col2	row384_col3	4618
385	row385_col1	row385_col2	row385_col3	2837
386	row386_col1	row386_col2	row386_col3	7988
387	row387_col1	row387_col2	row387_col3	877
388	row388_col1	row388_col2	row388_col3	5083
389	row389_col1	row389_col2	row389_col3	2489
390	row390_col1	row390_col2	row390_col3	1892
391	row391_col1	row391_col2	row391_col3	5612
392	row392_col1	row392_col2	row392_col3	7867
393	row393_col1	row393_col2	row393_col3	5470
394	row394_col1	row394_col2	row394_col3	7683
395	row395_col1	row395_col2	row395_col3	9493
396	row396_col1	row396_col2	row396_col3	3519
397	row397_col1	row397_col2	row397_col3	3531
398	row398_col1	row398_col2	row398_col3	1513
399	row399_col1	row399_col2	row399_col3	7512
400	row400_col1	row400_col2	row400_col3	8423
401	row401_col1	row401_col2	row401_col3	2774
402	row402_col1	row402_col2	row402_col3	4173
403	row403_col1	row403_col2	row403_col3	6548
404	row404_col1	row404_col2	row404_col3	3051
405	row405_col1	row405_col2	row405_col3	6912
406	row406_col1	row406_col2	row406_col3	5923
407	row407_col1	row407_col2	row407_col3	2386
408	row408_col1	row408_col2	row408_col3	1716
409	row409_col1	row409_col2	row409_col3	9801
410	row410_col1	row410_col2	row410_col3	2539
411	row411_col1	row411_col2	row411_col3	7169
412	row412_col1	row412_col2	row412_col3	4030
413	row413_col1	row413_col2	row413_col3	7303
414	row414_col1	row414_col2	row414_col3	5413
415	row415_col1	row415_col2	row415_col3	194
416	row416_col1	row416_col2	row416_col3	156
417	row417_col1	row417_col2	row417_col3	3622
418	row418_col1	row418_col2	row418_col3	5582
419	row419_col1	row419_col2	row419_col3	6496
420	row420_col1	row420_col2	row420_col3	7965
421	row421_col1	row421_col2	row421_col3	8886
422	row422_col1	row422_col2	row422_col3	6372
423	row423_col1	row423_col2	row423_col3	2930
424	row424_col1	row424_col2	row424_col3	5134
425	row425_col1	row425_col2	row425_col3	9611
426	row426_col1	row426_col2	row426_col3	465
427	row427_col1	row427_col2	row427_col3	7408
428	row428_col1	row428_col2	row428_col3	9009
429	row429_col1	row429_col2	row429_col3	6801
430	row430_col1	row430_col2	row430_col3	7893
431	row431_col1	row431_col2	row431_col3	744
432	row432_col1	row432_col2	row432_col3	1938
433	row433_col1	row433_col2	row433_col3	5852
434	row434_col1	row434_col2	row434_col3	2251
435	row435_col1	row435_col2	row435_col3	5078
436	row436_col1	row436_col2	row436_col3	9895
437	row437_col1	row437_col2	row437_col3	1433
438	row438_col1	row438_col2	row438_col3	9986
439	row439_col1	row439_col2	row439_col3	6761
440	row440_col1	row440_col2	row440_col3	1242
441	row441_col1	row441_col2	row441_col3	3009
442	row442_col1	row442_col2	row442_col3	3902
443	row443_col1	row443_col2	row443_col3	8972
444	row444_col1	row444_col2	row444_col3	6265
445	row445_col1	row445_col2	row445_col3	3634
446	row446_col1	row446_col2	row446_col3	507
447	row447_col1	row447_col2	row447_col3	5300
448	row448_col1	row448_col2	row448_col3	3141
449	row449_col1	row449_col2	row449_col3	4595
450	row450_col1	row450_col2	row450_col3	7399
451	row451_col1	row451_col2	row451_col3	6087
452	row452_col1	row452_col2	row452_col3	1535
453	row453_col1	row453_col2	row453_col3	9574
454	row454_col1	row454_col2	row454_col3	1729
455	row455_col1	row455_col2	row455_col3	4749
456	row456_col1	row456_col2	row456_col3	6444
457	row457_col1	row457_col2	row457_col3	3462
458	row458_col1	row458_col2	row458_col3	7834
459	row459_col1	row459_col2	row459_col3	3514
460	row460_col1	row460_col2	row460_col3	5726
461	row461_col1	row461_col2	row461_col3	5815
462	row462_col1	row462_col2	row462_col3	7989
463	row463_col1	row463_col2	row463_col3	2978
464	row464_col1	row464_col2	row464_col3	3741
465	row465_col1	row465_col2	row465_col3	4465
466	row466_col1	row466_col2	row466_col3	84
467	row467_col1	row467_col2	row467_col3	2985
468	row468_col1	row468_col2	row468_col3	4039
469	row469_col1	row469_col2	row469_col3	1926
470	row470_col1	row470_col2	row470_col3	9447
471	row471_col1	row471_col2	row471_col3	6946
472	row472_col1	row472_col2	row472_col3	9531
473	row473_col1	row473_col2	row473_col3	2539
474	row474_col1	row474_col2	row474_col3	6963
475	row475_col1	row475_col2	row475_col3	7977
476	row476_col1	row476_col2	row476_col3	3985
477	row477_col1	row477_col2	row477_col3	9084
478	row478_col1	row478_col2	row478_col3	5435
479	row479_col1	row479_col2	row479_col3	4321
480	row480_col1	row480_col2	row480_col3	9312
481	row481_col1	row481_col2	row481_col3	4468
482	row482_col1	row482_col2	row482_col3	7107
483	row483_col1	row483_col2	row483_col3	748
484	row484_col1	row484_col2	row484_col3	9520
485	row485_col1	row485_col2	row485_col3	8192
486	row486_col1	row486_col2	row486_col3	4207
487	row487_col1	row487_col2	row487_col3	8900
488	row488_col1	row488_col2	row488_col3	7665
489	row489_col1	row489_col2	row489_col3	5127
490	row490_col1	row490_col2	row490_col3	1047
491	row491_col1	row491_col2	row491_col3	2004
492	row492_col1	row492_col2	row492_col3	8930
493	row493_col1	row493_col2	row493_col3	8005
494	row494_col1	row494_col2	row494_col3	6391
495	row495_col1	row495_col2	row495_col3	6401
496	row496_col1	row496_col2	row496_col3	9606
497	row497_col1	row497_col2	row497_col3	4847
498	row498_col1	row498_col2	row498_col3	6553
499	row499_col1	row499_col2	row499_col3	1404
500	row500_col1	row500_col2	row500_col3	2011
501	row501_col1	row501_col2	row501_col3	5463
502	row502_col1	row502_col2	row502_col3	7002
503	row503_col1	row503_col2	row503_col3	1523
504	row504_col1	row504_col2	row504_col3	6024
505	row505_col1	row505_col2	row505_col3	2537
506	row506_col1	row506_col2	row506_col3	9835
507	row507_col1	row507_col2	row507_col3	4977
508	row508_col1	row508_col2	row508_col3	8799
509	row509_col1	row509_col2	row509_col3	940
510	row510_col1	row510_col2	row510_col3	4943
511	row511_col1	row511_col2	row511_col3	3756
512	row512_col1	row512_col2	row512_col3	7874
513	row513_col1	row513_col2	row513_col3	5917
514	row514_col1	row514_col2	row514_col3	14
515	row515_col1	row515_col2	row515_col3	7651
516	row516_col1	row516_col2	row516_col3	933
517	row517_col1	row517_col2	row517_col3	2681
518	row518_col1	row518_col2	row518_col3	2481
519	row519_col1	row519_col2	row519_col3	5415
520	row520_col1	row520_col2	row520_col3	1138
521	row521_col1	row521_col2	row521_col3	8120
522	row522_col1	row522_col2	row522_col3	9261
523	row523_col1	row523_col2	row523_col3	2378
524	row524_col1	row524_col2	row524_col3	7667
525	row525_col1	row525_col2	row525_col3	5357
526	row526_col1	row526_col2	row526_col3	5166
527	row527_col1	row527_col2	row527_col3	9912
528	row528_col1	row528_col2	row528_col3	7507
529	row529_col1	row529_col2	row529_col3	7760
530	row530_col1	row530_col2	row530_col3	9436
531	row531_col1	row531_col2	row531_col3	6536
532	row532_col1	row532_col2	row532_col3	5252
533	row533_col1	row533_col2	row533_col3	3115
534	row534_col1	row534_col2	row534_col3	327
535	row535_col1	row535_col2	row535_col3	4672
536	row536_col1	row536_col2	row536_col3	7105
537	row537_col1	row537_col2	row537_col3	8211
538	row538_col1	row538_col2	row538_col3	2902
539	row539_col1	row539_col2	row539_col3	272
540	row540_col1	row540_col2	row540_col3	1976
541	row541_col1	row541_col2	row541_col3	5312
542	row542_col1	row542_col2	row542_col3	3477
543	row543_col1	row543_col2	row543_col3	190
544	row544_col1	row544_col2	row544_col3	2345
545	row545_col1	row545_col2	row545_col3	8652
546	row546_col1	row546_col2	row546_col3	7635
547	row547_col1	row547_col2	row547_col3	2330
548	row548_col1	row548_col2	row548_col3	4883
549	row549_col1	row549_col2	row549_col3	4171
550	row550_col1	row550_col2	row550_col3	7686
551	row551_col1	row551_col2	row551_col3	599
552	row552_col1	row552_col2	row552_col3	4521
553	row553_col1	row553_col2	row553_col3	1696
554	row554_col1	row554_col2	row554_col3	3535
555	row555_col1	row555_col2	row555_col3	7234
556	row556_col1	row556_col2	row556_col3	916
557	row557_col1	row557_col2	row557_col3	192
558	row558_col1	row558_col2	row558_col3	1334
559	row559_col1	row559_col2	row559_col3	7719
560	row560_col1	row560_col2	row560_col3	9754
561	row561_col1	row561_col2	row561_col3	5801
562	row562_col1	row562_col2	row562_col3	8876
563	row563_col1	row563_col2	row563_col3	3524
564	row564_col1	row564_col2	row564_col3	4450
565	row565_col1	row565_col2	row565_col3	8890
566	row566_col1	row566_col2	row566_col3	1262
567	row567_col1	row567_col2	row567_col3	8921
568	row568_col1	row568_col2	row568_col3	3607
569	row569_col1	row569_col2	row569_col3	274
570	row570_col1	row570_col2	row570_col3	7115
571	row571_col1	row571_col2	row571_col3	6111
572	row572_col1	row572_col2	row572_col3	4732
573	row573_col1	row573_col2	row573_col3	7823
574	row574_col1	row574_col2	row574_col3	7135
575	row575_col1	row575_col2	row575_col3	7725
576	row576_col1	row576_col2	row576_col3	5747
577	row577_col1	row577_col2	row577_col3	8323
578	row578_col1	row578_col2	row578_col3	6427
579	row579_col1	row579_col2	row579_col3	1455
580	row580_col1	row580_col2	row580_col3	324
581	row581_col1	row581_col2	row581_col3	4754
582	row582_col1	row582_col2	row582_col3	6967
583	row583_col1	row583_col2	row583_col3	7045
584	row584_col1	row584_col2	row584_col3	8775
585	row585_col1	row585_col2	row585_col3	7576
586	row586_col1	row586_col2	row586_col3	3548
587	row587_col1	row587_col2	row587_col3	3951
588	row588_col1	row588_col2	row588_col3	3900
589	row589_col1	row589_col2	row589_col3	3000
590	row590_col1	row590_col2	row590_col3	2480
591	row591_col1	row591_col2	row591_col3	9387
592	row592_col1	row592_col2	row592_col3	1007
593	row593_col1	row593_col2	row593_col3	678
594	row594_col1	row594_col2	row594_col3	3134
595	row595_col1	row595_col2	row595_col3	4451
596	row596_col1	row596_col2	row596_col3	1036
597	row597_col1	row597_col2	row597_col3	4913
598	row598_col1	row598_col2	row598_col3	7540
599	row599_col1	row599_col2	row599_col3	6119
600	row600_col1	row600_col2	row600_col3	6222
601	row601_col1	row601_col2	row601_col3	4464
602	row602_col1	row602_col2	row602_col3	9710
603	row603_col1	row603_col2	row603_col3	2599
604	row604_col1	row604_col2	row604_col3	5368
605	row605_col1	row605_col2	row605_col3	8211
606	row606_col1	row606_col2	row606_col3	3888
607	row607_col1	row607_col2	row607_col3	2602
608	row608_col1	row608_col2	row608_col3	9478
609	row609_col1	row609_col2	row609_col3	2353
